T,chi,chi_err
1.000000000000000000e+00,1.274097704918032703e-01,1.158197062169963459e-01
1.875000000000000000e+00,7.693709289617486569e+00,5.920401441970774670e+00
2.750000000000000000e+00,2.215964203278688416e+01,6.364794770887108495e-03
3.625000000000000000e+00,1.669046512153758854e+01,1.495610878837130321e-02
4.500000000000000000e+00,1.328429061930783206e+01,2.160994710016622342e-02
5.375000000000000000e+00,1.082840677392298723e+01,2.521215998720083284e-02
6.250000000000000000e+00,8.949604907540983589e+00,2.906108498012945421e-02
7.125000000000000000e+00,7.392043345412711908e+00,3.685121673940150444e-02
8.000000000000000000e+00,6.091694745901639507e+00,4.213100336693743203e-02
8.875000000000000000e+00,4.860864398984069190e+00,7.416592489154566481e-02
9.750000000000000000e+00,3.848934804539722254e+00,8.079350109874766650e-02
1.062500000000000000e+01,2.817366080617164759e+00,8.942941083786158651e-02
1.150000000000000000e+01,1.933096501781895737e+00,8.527546731596695462e-02
1.237500000000000000e+01,1.323891113098194738e+00,6.704632174709605763e-02
1.325000000000000000e+01,9.538896517166717270e-01,5.648895195628338833e-02
1.412500000000000000e+01,6.438573985202378225e-01,3.879783382484319754e-02
1.500000000000000000e+01,4.451261901639343987e-01,3.176183597068935049e-02
1.587500000000000000e+01,3.468331989157092954e-01,2.697857278688008814e-02
1.675000000000000000e+01,2.793892586249082099e-01,2.205715364832195810e-02
1.762500000000000000e+01,2.205882106731776038e-01,2.232602731188421119e-02
1.850000000000000000e+01,1.852341967213114726e-01,1.778906368992634601e-02
1.937500000000000000e+01,1.752214946589106259e-01,1.781360471990225958e-02
2.025000000000000000e+01,1.551083553936450088e-01,1.522533735009946876e-02
2.112500000000000000e+01,1.382749861286254878e-01,1.396336093350095467e-02
2.200000000000000000e+01,1.145436780923994036e-01,1.079444237992273001e-02
