# doping	kf	T	Mabs	Mabs_err	Chi	Chi_err	Tau
0.1	0.1	1	1	nan	0	nan	nan
0.1	0.1	1.36667	1	nan	0	nan	nan
0.1	0.1	1.73333	1	nan	0	nan	nan
0.1	0.1	2.1	0.999995	6.98764e-06	4.70568e-06	6.65433e-06	41.9989
0.1	0.1	2.46667	0.999978	1.34304e-05	1.82159e-05	1.08853e-05	34.122
0.1	0.1	2.83333	0.999945	1.99714e-05	3.8598e-05	1.40844e-05	31.001
0.1	0.1	3.2	0.999816	3.43571e-05	0.00011482	2.1406e-05	27.3076
0.1	0.1	3.56667	0.999542	5.92044e-05	0.000259056	3.41865e-05	32.2457
0.1	0.1	3.93333	0.998935	9.55911e-05	0.000544547	4.97704e-05	36.2625
0.1	0.1	4.3	0.997912	0.00013971	0.00100044	7.27535e-05	38.5669
0.1	0.1	4.66667	0.996562	0.000171673	0.00152517	8.27916e-05	35.1967
0.1	0.1	5.03333	0.994637	0.000220154	0.00222487	0.000101871	36.7886
0.1	0.1	5.4	0.992002	0.000272168	0.00319565	0.000129173	36.487
0.1	0.1	5.76667	0.988517	0.000328969	0.00438631	0.00015976	36.3668
0.1	0.1	6.13333	0.983646	0.000425345	0.00630617	0.000298112	39.9995
0.1	0.1	6.5	0.977593	0.000498014	0.00824981	0.00032083	39.4837
0.1	0.1	6.86667	0.971338	0.0415931	1.6493	1.40689	214195
0.1	0.1	7.23333	0.962902	0.0408269	2.05937	0.588736	147077
0.1	0.1	7.6	0.953185	0.0305298	1.89016	0.399395	61760.9
0.1	0.1	7.96667	0.940366	0.0240142	1.84305	0.183578	27932.7
0.1	0.1	8.33333	0.926443	0.0232761	1.76089	0.102367	20007
0.1	0.1	8.7	0.9104	0.0168747	1.59323	0.0925835	8064.7
0.1	0.1	9.06667	0.894129	0.0184477	1.52398	0.0641778	7907.78
0.1	0.1	9.43333	0.872862	0.0136807	1.41286	0.039984	3487.1
0.1	0.1	9.8	0.851435	0.0130067	1.31437	0.0318706	2580.22
0.1	0.1	10.1667	0.822182	0.0112364	1.19664	0.0260634	1541.24
0.1	0.1	10.5333	0.795989	0.0111695	1.09861	0.0239353	1309.7
0.1	0.1	10.9	0.770533	0.0105291	1.0047	0.0218549	1043.75
0.1	0.1	11.2667	0.739698	0.00951035	0.914855	0.0180204	764.281
0.1	0.1	11.6333	0.710961	0.00924398	0.832817	0.0165768	662.647
0.1	0.1	12	0.684877	0.00841081	0.758785	0.0144546	521.008
0.1	0.18	1	0.999995	6.98764e-06	9.88194e-06	1.39741e-05	41.9989
0.1	0.18	1.36667	0.999954	1.73563e-05	6.76348e-05	2.53795e-05	27.7012
0.1	0.18	1.73333	0.999781	4.12571e-05	0.000253917	4.81847e-05	32.8731
0.1	0.18	2.1	0.998824	9.98165e-05	0.00113501	9.94475e-05	35.5307
0.1	0.18	2.46667	0.996636	0.000171087	0.00279209	0.000153551	36.1254
0.1	0.18	2.83333	0.993033	0.000248389	0.00519403	0.000233219	35.6354
0.1	0.18	3.2	0.986515	0.000363661	0.00937217	0.000337613	37.4819
