# doping	kf	T	Mabs	Mabs_err	Chi	Chi_err	Tau
0.1	0.1	1	1	0	17	0	1
0.1	0.1	1.36667	1	0	12.439	0	1
0.1	0.1	1.73333	1	0	9.80769	7.94411e-17	1
0.1	0.1	2.1	1	0	8.09524	7.94411e-17	1
0.1	0.1	2.46667	1	0	6.89189	1.58882e-16	1
0.1	0.1	2.83333	1	0	6	0	1
0.1	0.1	3.2	0.999882	0.000166295	5.31132	0.00166233	1
0.1	0.1	3.56667	0.999529	0.00033209	4.76213	0.0029795	1
0.1	0.1	3.93333	0.999294	0.000406317	4.31629	0.0033048	1
0.1	0.1	4.3	0.997176	0.000838915	3.93259	0.00618387	1
0.1	0.1	4.66667	0.996353	0.000911882	3.61779	0.00638416	1
0.1	0.1	5.03333	0.994588	0.00115131	3.34323	0.00727297	1
0.1	0.1	5.4	0.990471	0.00170031	3.09297	0.00943747	1
0.1	0.1	5.76667	0.988471	0.00169996	2.88465	0.00922408	1
0.1	0.1	6.13333	0.984	0.00221667	2.69056	0.0108363	1
0.1	0.1	6.5	0.979176	0.00242062	2.515	0.0115736	1
0.1	0.1	6.86667	0.969294	0.00354849	2.34143	0.0142266	1
0.1	0.1	7.23333	0.964	0.00337039	2.19731	0.0136023	1
0.1	0.1	7.6	0.946118	0.00456324	2.02548	0.0164833	1
0.1	0.1	7.96667	0.932706	0.00510327	1.884	0.0174657	1
0.1	0.1	8.33333	0.918588	0.00573253	1.75441	0.0183161	1
0.1	0.1	8.7	0.892471	0.00687728	1.60183	0.0200196	1
0.1	0.1	9.06667	0.883647	0.00688186	1.50783	0.0195796	1
0.1	0.1	9.43333	0.858824	0.00810997	1.38841	0.0208079	1
0.1	0.1	9.8	0.837176	0.0089079	1.28457	0.0211813	1
0.1	0.1	10.1667	0.812353	0.00934828	1.17618	0.0209243	1
0.1	0.1	10.5333	0.786353	0.0104648	1.08631	0.0216029	1
0.1	0.1	10.9	0.755294	0.0108868	0.981842	0.021524	1
0.1	0.1	11.2667	0.722706	0.0108204	0.875346	0.0205743	1
0.1	0.1	11.6333	0.696588	0.0114206	0.804347	0.020324	1
0.1	0.1	12	0.674471	0.0115638	0.738956	0.0196298	1
0.1	0.18	1	1	0	17	0	1
0.1	0.18	1.36667	1	0	12.439	0	1
0.1	0.18	1.73333	0.999882	0.000166295	9.80552	0.00306891	1
0.1	0.18	2.1	0.999529	0.00033209	8.08807	0.00505852	1
0.1	0.18	2.46667	0.995647	0.000993139	6.83539	0.0129428	1
0.1	0.18	2.83333	0.993059	0.00126183	5.92175	0.0142303	1
0.1	0.18	3.2	0.986	0.00185896	5.17396	0.0182362	1
0.1	0.18	3.56667	0.973765	0.00288785	4.53941	0.0241165	1
0.1	0.18	3.93333	0.964	0.0033124	4.03942	0.0252212	1
0.1	0.18	4.3	0.941294	0.00448295	3.54234	0.0293098	1
0.1	0.18	4.66667	0.917765	0.00555413	3.12454	0.031137	1
0.1	0.18	5.03333	0.878941	0.00718738	2.69589	0.0360892	1
0.1	0.18	5.4	0.840706	0.00882068	2.34652	0.0381598	1
0.1	0.18	5.76667	0.792824	0.00966409	1.99066	0.0377774	1
0.1	0.18	6.13333	0.766118	0.00975528	1.75872	0.0355389	1
0.1	0.18	6.5	0.690118	0.0116203	1.42166	0.0368274	1
0.1	0.18	6.86667	0.640353	0.0120962	1.19579	0.034858	1
0.1	0.18	7.23333	0.601647	0.0125844	1.0368	0.0333231	1
0.1	0.18	7.6	0.574	0.0124299	0.909105	0.0303735	1
0.1	0.18	7.96667	0.530588	0.0119675	0.75353	0.0273377	1
0.1	0.18	8.33333	0.497765	0.0125576	0.663889	0.026512	1
0.1	0.18	8.7	0.486471	0.0120802	0.603471	0.0247058	1
0.1	0.18	9.06667	0.44	0.0119496	0.495746	0.0217513	1
